No.	Time	Source	Destination	Protocol	Length	Info
156	49.629817	103.28.8.52	192.168.50.156	HTTP	327	HTTP/1.1 200 OK  (application/octet-stream)
157	49.630008	192.168.50.156	103.28.8.52	TCP	54	63619 ¡ú 80 [FIN, ACK] Seq=900 Ack=274 Win=63967 Len=0
158	49.630187	103.28.8.52	192.168.50.156	TCP	60	80 ¡ú 63619 [ACK] Seq=274 Ack=901 Win=64239 Len=0
159	49.660008	103.28.8.52	192.168.50.156	TCP	60	80 ¡ú 63619 [FIN, PSH, ACK] Seq=274 Ack=901 Win=64239 Len=0
160	49.660046	192.168.50.156	103.28.8.52	TCP	54	63619 ¡ú 80 [ACK] Seq=901 Ack=275 Win=63967 Len=0
161	50.039478	192.168.50.152	192.168.50.156	TCP	60	2504 ¡ú 59 [SYN] Seq=0 Win=512 Len=0
162	51.039803	192.168.50.152	192.168.50.156	TCP	60	2505 ¡ú 60 [SYN] Seq=0 Win=512 Len=0
163	52.040466	192.168.50.152	192.168.50.156	TCP	60	2506 ¡ú 61 [SYN] Seq=0 Win=512 Len=0
164	53.041368	192.168.50.152	192.168.50.156	TCP	60	2507 ¡ú 62 [SYN] Seq=0 Win=512 Len=0
165	54.042157	192.168.50.152	192.168.50.156	TCP	60	2508 ¡ú 63 [SYN] Seq=0 Win=512 Len=0
166	55.043003	192.168.50.152	192.168.50.156	TCP	60	2509 ¡ú 64 [SYN] Seq=0 Win=512 Len=0
167	56.043734	192.168.50.152	192.168.50.156	TCP	60	2510 ¡ú 65 [SYN] Seq=0 Win=512 Len=0
168	57.044378	192.168.50.152	192.168.50.156	TCP	60	2511 ¡ú 66 [SYN] Seq=0 Win=512 Len=0
169	58.045540	192.168.50.152	192.168.50.156	TCP	60	2512 ¡ú 67 [SYN] Seq=0 Win=512 Len=0
170	58.955858	180.163.243.139	192.168.50.156	TCP	1330	80 ¡ú 60009 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=1276
171	58.986130	192.168.50.156	180.163.243.139	TCP	70	60009 ¡ú 80 [PSH, ACK] Seq=1 Ack=1277 Win=64240 Len=16
172	58.986429	180.163.243.139	192.168.50.156	TCP	60	80 ¡ú 60009 [ACK] Seq=1277 Ack=17 Win=64240 Len=0
173	59.046664	192.168.50.152	192.168.50.156	TCP	60	2513 ¡ú 68 [SYN] Seq=0 Win=512 Len=0
174	59.371937	192.168.50.156	180.163.228.250	TCP	66	63641 ¡ú 80 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
175	59.379591	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63641 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
176	59.379661	192.168.50.156	180.163.228.250	TCP	54	63641 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
177	59.379848	192.168.50.156	180.163.228.250	TCP	336	63641 ¡ú 80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=282 [TCP PDU reassembled in 179]
178	59.379980	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63641 [ACK] Seq=1 Ack=283 Win=64240 Len=0
179	59.379990	192.168.50.156	180.163.228.250	HTTP	968	POST /cloudquery.php HTTP/1.1 
180	59.380084	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63641 [ACK] Seq=1 Ack=1197 Win=64240 Len=0
181	59.419108	180.163.228.250	192.168.50.156	HTTP	620	HTTP/1.1 200 OK  (application/octet-stream)
182	59.419330	192.168.50.156	180.163.228.250	TCP	54	63641 ¡ú 80 [FIN, ACK] Seq=1197 Ack=567 Win=63674 Len=0
183	59.419463	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63641 [ACK] Seq=567 Ack=1198 Win=64239 Len=0
184	59.424391	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63641 [FIN, PSH, ACK] Seq=567 Ack=1198 Win=64239 Len=0
185	59.424427	192.168.50.156	180.163.228.250	TCP	54	63641 ¡ú 80 [ACK] Seq=1198 Ack=568 Win=63674 Len=0
186	59.448646	192.168.50.156	36.99.172.6	DNS	84	Standard query 0xe922 A pw.mediav.com OPT
187	59.470889	36.99.172.6	192.168.50.156	DNS	302	Standard query response 0xe922 A pw.mediav.com CNAME max-k8s.adsys.qihucdn.cn NS dns8.360safe.com NS dns9.360safe.com NS dns2.360safe.com NS dns1.360safe.com NS dns3.360safe.com NS dns7.360safe.com OPT
188	59.471268	192.168.50.156	203.119.29.1	DNS	95	Standard query 0xebe8 A max-k8s.adsys.qihucdn.cn OPT
189	59.478450	203.119.29.1	192.168.50.156	DNS	832	Standard query response 0xebe8 A max-k8s.adsys.qihucdn.cn NS dns1.360safe.com NS dns2.360safe.com NS dns3.360safe.com NS dns7.360safe.com NS dns8.360safe.com NS dns9.360safe.com NSEC3 RRSIG NSEC3 RRSIG OPT
190	59.478702	192.168.50.156	36.99.172.6	DNS	95	Standard query 0x5bdf A max-k8s.adsys.qihucdn.cn OPT
191	59.479821	192.168.50.156	8.8.8.8	DNS	73	Standard query 0x2ef3 A pw.mediav.com
192	59.503008	36.99.172.6	192.168.50.156	DNS	291	Standard query response 0x5bdf A max-k8s.adsys.qihucdn.cn A 180.163.247.45 NS dns8.360safe.com NS dns9.360safe.com NS dns2.360safe.com NS dns1.360safe.com NS dns3.360safe.com NS dns7.360safe.com OPT
193	59.508555	8.8.8.8	192.168.50.156	DNS	127	Standard query response 0x2ef3 A pw.mediav.com CNAME max-k8s.adsys.qihucdn.cn A 180.163.247.45
194	59.508934	192.168.50.156	180.163.247.45	TCP	66	63642 ¡ú 443 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
195	59.518029	180.163.247.45	192.168.50.156	TCP	60	443 ¡ú 63642 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
196	59.518106	192.168.50.156	180.163.247.45	TCP	54	63642 ¡ú 443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
197	59.561504	192.168.50.156	180.163.247.45	TLSv1.2	571	Client Hello (SNI=pw.mediav.com)
198	59.561879	180.163.247.45	192.168.50.156	TCP	60	443 ¡ú 63642 [ACK] Seq=1 Ack=518 Win=64240 Len=0
199	59.571190	180.163.247.45	192.168.50.156	TLSv1.2	1454	Server Hello
200	59.572136	180.163.247.45	192.168.50.156	TCP	1454	443 ¡ú 63642 [PSH, ACK] Seq=1401 Ack=518 Win=64240 Len=1400 [TCP PDU reassembled in 203]
201	59.572226	192.168.50.156	180.163.247.45	TCP	54	63642 ¡ú 443 [ACK] Seq=518 Ack=2801 Win=64240 Len=0
202	59.573522	180.163.247.45	192.168.50.156	TCP	1350	443 ¡ú 63642 [PSH, ACK] Seq=2801 Ack=518 Win=64240 Len=1296 [TCP PDU reassembled in 203]
203	59.573915	180.163.247.45	192.168.50.156	TLSv1.2	1176	Certificate, Server Key Exchange, Server Hello Done
204	59.573956	192.168.50.156	180.163.247.45	TCP	54	63642 ¡ú 443 [ACK] Seq=518 Ack=5219 Win=64240 Len=0
205	59.576595	192.168.50.156	180.163.247.45	TLSv1.2	180	Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
206	59.576704	180.163.247.45	192.168.50.156	TCP	60	443 ¡ú 63642 [ACK] Seq=5219 Ack=644 Win=64240 Len=0
207	59.583534	180.163.247.45	192.168.50.156	TLSv1.2	105	Change Cipher Spec, Encrypted Handshake Message
